"filename", "language", "Java", "XML", "Java Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\enums\ThumnailFormat.class", "Java", 10, 0, 0, 0, 0, 0, 10
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\enums\ThumnailSize.class", "Java", 19, 0, 0, 0, 0, 0, 19
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\exceptions\BadgeLimit.class", "Java", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\classes\me\vigus\red\robloxjava\exceptions\RequestError.class", "Java", 12, 0, 0, 0, 0, 0, 12
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\surefire-reports\TEST-me.vigus.jdaintro.AppTest.xml", "XML", 0, 60, 0, 0, 0, 0, 60
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\surefire-reports\TEST-me.vigus.red.discordbot.RobloxUserArgumentTest.xml", "XML", 0, 66, 0, 0, 0, 0, 66
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\surefire-reports\TEST-me.vigus.red.robloxjava.connection.http.HttpConnectionTest.xml", "XML", 0, 62, 0, 0, 0, 0, 62
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\surefire-reports\TEST-me.vigus.red.robloxjava.connection.json.UserGroupsJsonTest.xml", "XML", 0, 62, 0, 0, 0, 0, 62
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\test-classes\me\vigus\red\discordbot\RobloxUserArgumentTest.class", "Java", 29, 0, 0, 0, 0, 0, 29
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\target\test-classes\me\vigus\red\robloxjava\connection\http\HttpConnectionTest.class", "Java", 51, 0, 0, 0, 0, 0, 51
